AUDIENCE,BIAS,MESSAGE,DESIGNATION,SOURCE,TEXT
national,partisan,policy,Representative ,twitter,RT @nowthisnews: Rep. Trey Radel (R- #FL) slams #Obamacare. #politics https://t.co/zvywMG8yIH
national,partisan,attack,Senator ,twitter,VIDEO - #Obamacare:  Full of Higher Costs and Broken Promises: http://t.co/dn3vzqIrWF
national,neutral,support,Representative ,twitter,Please join me today in remembering our fallen heroes and honoring the men and women currently in military service for their sacrifices.
national,neutral,policy,Senator ,twitter,RT @SenatorLeahy: 1st step toward Senate debate on Leahy-Crapo #VAWA bill is the Senateâ€™s procedural vote today at 5:30 pm
national,partisan,policy,Senator ,twitter,.@amazon delivery #drones show need to update law to promote #innovation &amp; protect #privacy. My #UAS bill does that: http://t.co/l9ta5SKq6u
national,partisan,information,Senator ,twitter,Called on the @USDOTFRA to release info about inspections before the #CasseltonDerailment to review quality of rails. (1/2)
national,neutral,mobilization,Representative ,twitter,"@BBCWorld, help us keep the kidnapped Nigerian school girls' story out front. #BringBackOurGirls #JoinRepWilson http://t.co/ZqZVT80mga"
constituency,neutral,mobilization,Representative ,twitter,Show your Arizona pride-choose your favorite S. AZ picture for my Facebook cover photo! Retweet to spread the word! https://t.co/7PHHigA8nd
national,neutral,personal,Representative ,twitter,What a wonderful night at State Senator Ken Yagerâ€™s Chili Supper benefitting the Boys &amp; Girls Clubs of Roane County. http://t.co/DsyoAFZvkR
national,partisan,support,Representative ,twitter,"Great op-ed by Pres. Clinton about signing #FMLA 20 yrs ago today, an important law protecting workers http://t.co/csYEv7O4 #HoyerHeadlines"
national,partisan,policy,Representative ,twitter,"As POTUS golfs, pushes amnesty &amp; ignores Keystone, American people are concerned about jobs, econ &amp; health care costs http://t.co/p9sPDYOAca"
national,partisan,attack,Representative ,twitter,The President doesnâ€™t get to just decide he doesnâ€™t like Congress and do his own thing: http://t.co/jmclKjUzSG
national,neutral,policy,Senator ,twitter,"FACT: The Recovery Act cut taxes for middle-class families, kept teachers in the classroom, &amp; police &amp; firefighters on the streets."
national,neutral,information,Representative ,twitter,RT @MHA: Telemedicine consults at rural ERs helps prevent prescription errors (via @genevrapittman for @medcitynews) http://t.co/VEyo4ScM3g
constituency,neutral,personal,Representative ,twitter,"@SkitchP Wouldn't wish that on anyone. Even you, Skitch."
national,partisan,policy,Senator ,twitter,"At 5:45pm, Sen. @CoryBooker will give his maiden Senate speech on need to #RenewUI--such an impt issue! Follow @SenBookerofc for livetweets."
national,neutral,personal,Senator ,twitter,"""...if you have come because your liberation is bound up with mine, then let us work together."" â€“ Lilla Watson http://t.co/6WPXW9QUM0"
national,neutral,support,Representative ,twitter,"For health coverage starting Jan. 1st, you must sign up for @AccessHealthCT by end of today: http://t.co/fS7mNrPpmB #GetEnrolled"
national,neutral,support,Representative ,twitter,The House will vote this week to #DefundObamacare and keep the government open.
national,partisan,support,Representative ,twitter,Tks to Margaret 4 joining me in DC to share successes Niskayuna NCAP saw in education &amp; prevention of substance abuse http://t.co/kvS6kAkJyT
national,neutral,support,Senator ,twitter,A great look back at at Idaho Native American tribes in 1863. #idpol #idaho150 Via @KTVB http://t.co/JsxSWVpDPv
national,neutral,other,Senator ,twitter,"#OTD in 1969, American astronaut Neil Armstrong stepped off the lunar landing module Eagle and walked on the surface of the moon"
national,neutral,policy,Representative ,twitter,RT if you agree: It's time to #ActOnClimate change â†’ more info on the #NCA2014 released today at http://t.co/SdCnKyUDVJ
national,neutral,policy,Representative ,twitter,We will vote on the Working Families Flexibility Act. Would you like the flexibility to choose how you're comp'd for overtime? #YourTime
constituency,neutral,constituency,Representative ,twitter,"Reminder: Next week, my office will be holding mobile office hours in Sachse and Wylie. Learn more: http://t.co/38p28m2O0I #TX32"
national,partisan,support,Senator ,twitter,This wkâ€™s 1 min video is on how expanding Medicaid in #WV will help so many families get affordable health care. http://t.co/VDUMX9R4x5
national,neutral,personal,Representative ,twitter,Thinking of all those affected by the severe weather today - especially in Oklahoma.  Stay safe.
national,partisan,attack,Representative ,twitter,Remember Bill? He and his friends are stuck on @SenatorReid's desk. #4jobs http://t.co/0DCNU1R3G7
national,partisan,policy,Senator ,twitter,Slashing Amtrakâ€™s funding by 1/3 at a time of increasing ridership will hurt PAâ€™s economy. http://t.co/dqtBbksslg https://t.co/4y6igwxWnr
national,neutral,information,Representative ,twitter,"American #energy production is creating #jobs, holding prices down, and promoting energy independence: http://t.co/Pw6cdXrHiR"
national,partisan,attack,Representative ,twitter,"#Obamacare spawning a new concept: ""medical homelessness.""  http://t.co/mmupzZKMqJ"
national,partisan,policy,Representative ,twitter,"MUST READ from @marcthiessen -- ""Kidnapped Libyan prime minister pays the price for an Obama leak"" http://t.co/MHHab1V0XD"
national,partisan,information,Representative ,twitter,Delaying or refusing to vote to #RenewUI has real life consequences for 2.8 million Americans- http://t.co/srPRCzH2Dg http://t.co/FYzWGvwKXz
national,partisan,personal,Senator ,twitter,"In his office in the @uscapitol, Senator McConnell congratulated &amp; welcomed Senator-elect Bill Cassidy to the Senate http://t.co/fyZY42ddZP"
constituency,neutral,personal,Representative ,twitter,".@HouseofCards, if you donâ€™t like Long Island wine, I suggest giving @FLXWineCountry or @Niagwinetrail wines a try."
national,neutral,information,Representative ,twitter,"""Six enrolled on health site on Day 1"" via @politico. #trainwreck http://t.co/ng4OzR3pab"
national,neutral,policy,Representative ,twitter,$10M in federal funds will help relieve congestion around @FtMeadeMD! More: http://t.co/biOp5x3HYX
constituency,partisan,policy,Senator ,twitter,Job well done by the members of the SC House of Representatives who voted down Medicaid expansion yesterday.  #scnews
constituency,neutral,media,Representative ,twitter,Gearing up for coffee w/ constituents this morning at D &amp; K's Gretna Cafe at 8:30. Be sure to stop by..looking forward to speaking w/ folks!
national,neutral,support,Representative ,twitter,.@askgeorge has been a dedicated public servant &amp; his leadership on @edworkforcedems will be missed. I wish him the best in retirement.
constituency,partisan,policy,Representative ,twitter,"#Florida is ""tale of what went right with President Barack Obama's health care overhaulâ€ù despite GOP opposition: http://t.co/bhsAcU3Wje"
national,neutral,mobilization,Representative ,twitter,"If you are in DC tomorrow &amp; want to #MakeGovernmentWork, join us #ProblemSolvers in showing America that some of us are here to #FixNotFight"
constituency,neutral,support,Representative ,twitter,FL delegation shining spotlight on VA health care in sunshine state http://t.co/CdeEXuC1C5
national,neutral,media,Senator ,twitter,Meeting the press in #Jerusalem with @GrahamBlog #Israel http://t.co/FIbhbOpSwh
national,partisan,policy,Representative ,twitter,"Video of my speech on house floor, rejecting #GOPBudget that cuts jobs in #WI and turns #Medicare into a voucher http://t.co/tItIxBrF4C"
national,partisan,policy,Senator ,twitter,What other options are there for raising $350 billion with such a negligible impact on middle-class Americans and Main Street businesses?
constituency,neutral,constituency,Representative ,twitter,Thanks to LI Farm Bureau for hosting me to speak directly with farmers about issues most important to them http://t.co/ttbdLjiMjd
national,neutral,information,Representative ,twitter,"For 23 years, the Americans with Disabilities Act has been opening doors for tens of millions of Americans. http://t.co/tezFwZ1iS1"
national,neutral,personal,Senator ,twitter,Is that delight or terror MT @LyndaWoolard Can u see my delight when Cory taught me how 2 take a selfie in yesterday? http://t.co/GJd2pmcMOY
national,neutral,information,Representative ,twitter,"RT @AAAS_News: ""Basic science is a riskier investment compared with applied research, but one with larger potential payoffs,"" #OpEd http://â€_"
national,neutral,support,Senator ,twitter,Promising @FannieMae is paying back more $ to US taxpayers. Reinforces 5 yrs after crash we need #GSEreform to help prevent another bailout
national,partisan,policy,Senator ,twitter,#KXL oil export strategy makes US a middle man &amp; worsens #climatechange.Senate shld reject it http://t.co/Z8fiHvgckO http://t.co/p4pk9gfw4r
national,partisan,policy,Senator ,twitter,WTVW-TV report: McConnell sponsors Sunscreen Innovation Act (+playlist): http://t.co/J0yooWhFTR #Kentucky
national,neutral,policy,Representative ,twitter,We need to work together to find real solutions to @FixtheDebt before @TheCanKicksBack http://t.co/5HXcsgTn79
national,neutral,personal,Representative ,twitter,Congrats to the #coleg - last day of session.
national,partisan,attack,Representative ,twitter,DemandarÃ¡ Obama un recuento en #Venezuela? Creo q deberÃ_a. Lee mi carta y tweet @whitehouse para decirle lo q piensas http://t.co/wrhmJLBKzh
national,neutral,policy,Representative ,twitter,As @RepJoeGarcia says this isn't everything each side wants but is a point for reasonable bipartisan support to fix the broken system.
national,neutral,information,Representative ,twitter,ICYMI: I spoke with @WolfBlitzer tonight about the #SonyHack &amp; North Korea. http://t.co/PRvJK3Nb3C
constituency,neutral,support,Representative ,twitter,Hosting the #Colorado30 Group today on the Hill. Strengthening connections with CO  leaders on national defense. http://t.co/wJP0yUN2AF
national,neutral,personal,Senator ,twitter,Looking fwd to #ThirteenSoldiers book signing tomorrow @ChangingHands Bookstore in #Tempe - more info: http://t.co/tvuwI3Xbuz #Arizona
national,partisan,policy,Representative ,twitter,Today marks the 4th time in 5 years that Pres. Obama missed the legal deadline to submit his budget plan: http://t.co/RivWKVg1 #RequireAPlan
constituency,neutral,information,Representative ,twitter,"Come get help w/fed agencies at Mobile Office Hrs: Th, 11am-12:30pm, Acacia Library (750 E. Townley Ave, Phx). http://t.co/83jgOjKirc"
national,partisan,policy,Representative ,twitter,The Obama economy just isnâ€™t cutting it for hardworking Americans â†’ http://t.co/yagUZrvj6i
national,neutral,support,Representative ,twitter,"Great to see Ft Monroe Authority Ex. Dir. Oder, Dr. Wagner &amp; Dr. Koch at the State of the Region presentation in Hpt http://t.co/DtPxkJWBsi"
national,neutral,media,Representative ,twitter,Joining the @FoxMorningNews in Roanoke just after 8AM. Hope you'll tune in! #VA06 #rke
national,neutral,information,Representative ,twitter,"RT @jaketapper: Pentagon:  Sgt. Stephen New, 29, of Bartlett, TN, died July 28 in Bagram after unit was attacked by small arms fire http://â€_"
national,partisan,attack,Representative ,twitter,"DoD Secy Chuck Hagel, reportedly in charge of #Bergdahl exchange, claimed he ""doesn't know..."" today via @FreeBeacon https://t.co/tLImg8ASlt"
national,partisan,personal,Representative ,twitter,Can it be any clearer? Lerner and #IRS were covering their tracks! http://t.co/C2P3NsOkP9
national,neutral,personal,Representative ,twitter,Hear my recent discussion on #Syria with Irelandâ€™s @rtenews (begins at 5:45):   http://t.co/vKeyErEUj4
national,partisan,attack,Senator ,twitter,RT to tell President Obama the buck stops with him. http://t.co/n8t627WxCn #IRS #IRSscandal #Benghazi
national,partisan,policy,Senator ,twitter,"Must Read: How to get a raise at McDonaldâ€™s - @HaroldMeyerson, @WashingtonPost: http://t.co/zh4cva5Txz #StrikeFastFood"
national,neutral,information,Representative ,twitter,The number of people signing up for health insurance continues to increase.
national,neutral,information,Representative ,twitter,RT @HouseHomeland: ICYMI: Chairman @McCaulPressShop on @CBSThisMorning on the #Boston bombing investigation and yesterday's hearing: http:/â€_
